Title,Company,Location,Experience,Posted,Skills,URL
Data Analyst (English Required),Peroptyx,Remote,0-5 Yrs,1 week ago,"Data Analysis, English, Data Analytics, Data Mapping, Data, Analytics, Analysis, Mapping",https://www.naukri.com/job-listings-data-analyst-english-required-peroptyx-mumbai-all-areas-0-to-5-years-190525014880
Data Analyst 38 Lakhs CTC || Srinivasa Reddy Kandi,Integra Technologies,"Hyderabad, Chennai, Bengaluru",10-15 Yrs,2 days ago,"Power Bi, SQL, Data Analysis, Data Analytics, Word, Countif, MS Visio, Alteryx",https://www.naukri.com/job-listings-data-analyst-38-lakhs-ctc-srinivasa-reddy-kandi-vcloud-technologies-investment-hyderabad-chennai-bengaluru-10-to-15-years-260325003648
Data Analyst - B,Capgemini,Pune,2-5 Yrs,2 days ago,"algorithms, charts, data analysis, data validation, dashboards, hlookup, macros, python",https://www.naukri.com/job-listings-data-analyst-b-capgemini-technology-services-india-limited-pune-2-to-5-years-010825921571
Data Analyst Course,Eduluk,New Delhi,0-3 Yrs,1 week ago,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",https://www.naukri.com/job-listings-data-analyst-course-eduluk-new-delhi-0-to-3-years-240725503929
Data Analyst,HERITAGE FOODS LIMITED,Hyderabad,0-3 Yrs,5 days ago,"Procurement, Usage, SAP ERP, Publishing, Senior management, Data Analyst, Management, Budgeting",https://www.naukri.com/job-listings-data-analyst-heritage-foods-limited-hyderabad-0-to-3-years-290725500810
Data Analyst,Karmanx,Bengaluru,0-1 Yrs,1 week ago,"Analytical skills, Data analysis, data science, Data modeling, HTML, Data analytics, Data Analyst, Mathematics",https://www.naukri.com/job-listings-data-analyst-karmanx-bengaluru-0-to-1-years-220725503255
Data Analyst,Optum,Gurugram,2-5 Yrs,5 days ago,"sas, stata, sql, r, statistical software, python, data analysis, data analytics",https://www.naukri.com/job-listings-data-analyst-optum-global-solutions-india-private-limited-gurugram-2-to-5-years-290725926121
Data Analyst,NCR Corporation,Hybrid - Gurugram,2-5 Yrs,3 days ago,"python, sql, r, data science, quantitative, rest, data analysis, data analytics",https://www.naukri.com/job-listings-data-analyst-ncr-corporation-india-pvt-ltd-gurugram-2-to-5-years-310725913513
Data Analyst,HBL ENGINEERING LIMITED,Hyderabad,0-1 Yrs,2 days ago,"Python, Pandas, Numpy, Statistical Techniques, Data, Statistics, Data analysis",https://www.naukri.com/job-listings-data-analyst-hbl-engineering-limited-hyderabad-0-to-1-years-010825022934
Data Analyst - Legal,Avantor,Pune,5-10 Yrs,2 days ago,"bi, power bi, bi development, vba, advanced excel, macros, charts, data analysis",https://www.naukri.com/job-listings-data-analyst-legal-avantor-performance-materials-india-private-limited-pune-5-to-10-years-010825911555
Data Analyst,NCR Corporation,Gurugram,2-4 Yrs,3 days ago,"python, data analysis, data management, sql, data quality, metadata, data analytics, data validation",https://www.naukri.com/job-listings-data-analyst-ncr-corporation-india-pvt-ltd-gurugram-2-to-4-years-310725915069
Online Data Analyst in India (Kannada speakers),TELUS Digital,Remote,0-1 Yrs,1 week ago,"Search Engine, Data Analysis, Data Analytics, Data, Engine, Kannada, Analysis, Searching",https://www.naukri.com/job-listings-online-data-analyst-in-india-kannada-speakers-telus-digital-mumbai-all-areas-0-to-1-years-250725022000
Data Analyst,Valor Paytech India,Chennai,0-6 Yrs,2 days ago,"Data analysis, Analytical, Machine learning, Data collection, power bi, data visualization, Business intelligence, Business solutions",https://www.naukri.com/job-listings-data-analyst-valor-paytech-chennai-0-to-6-years-010825504443
Data Analyst - Power Platform,Capgemini,Bengaluru,3-6 Yrs,5 days ago,"python, data analysis, machine learning, sql, predictive modeling, macros, data analytics, data management",https://www.naukri.com/job-listings-data-analyst-power-platform-capgemini-technology-services-india-limited-bengaluru-3-to-6-years-290725922550
Data Analyst,Grant Thornton,Delhi / NCR,5-7 Yrs,5 days ago,"Power Bi, data analyst, Data Visualization, Data Analytics, Python, Edtech, skilling, Government Projects",https://www.naukri.com/job-listings-data-analyst-grant-thornton-delhi-ncr-5-to-7-years-290725022152
Hiring - Data Analyst - Banking Domain- MNC,People Staffing solutions,"Hyderabad, Delhi / NCR",6-11 Yrs,1 day ago,"Advance Sql, Data Analysis, Data Interpretation, Data Extraction, Business Insight, SQL, Business Reporting, Insight Generation",https://www.naukri.com/job-listings-hiring-data-analyst-banking-domain-mnc-people-staffing-hyderabad-delhi-ncr-6-to-11-years-020825000047
Data Analyst,Virtusa,Hyderabad,8-13 Yrs,2 days ago,"rdbms, data mining, bi, database design, data modeling, python, data analysis, data analytics",https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-8-to-13-years-010825923184
Data Analyst,Virtusa,Pune,6-11 Yrs,2 days ago,"snowflake, data analytics, sql, etl, data lake, hive, python, data analysis",https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-pune-6-to-11-years-010825923530
Data Analyst,Virtusa,Chennai,5-10 Yrs,2 days ago,"snowflake, data analytics, sql, etl, data lake, hive, python, data analysis",https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-chennai-5-to-10-years-010825922942
Data Analyst - German,Numerator,Vadodara,0-7 Yrs,2 days ago,"Training, Retail, Usage, Database, German, Data Analyst, Research, Data entry",https://www.naukri.com/job-listings-data-analyst-german-numerator-vadodara-0-to-7-years-010825503747
Data Analyst,Euromonitor,Hybrid - Bengaluru,0-2 Yrs,5 days ago,"Economics, R Program, Statistical Modeling, Econometrics, Data analysis, Data, Modeling, R",https://www.naukri.com/job-listings-data-analyst-euromonitor-bengaluru-0-to-2-years-290725014402
Data Analyst,Lifecell,Hybrid - Bengaluru,3-5 Yrs,2 days ago,"Advanced Excel, Power Bi, Mis Analysis, Data Analysis, Excel, MIS, Analysis, Bi",https://www.naukri.com/job-listings-data-analyst-lifecell-bengaluru-3-to-5-years-010825019660
Data Analyst,Cointab Software,Mumbai (All Areas)(Malad West),0-1 Yrs,4 days ago,"Communication Skills, Data Analysis, Data Cleansing, Data Extraction, Data Reporting, Data Visualization, SQL, Reporting",https://www.naukri.com/job-listings-data-analyst-cointab-software-mumbai-all-areas-0-to-1-years-300725023266
Winfrox Hiring Remote Data Analysts,Digital Solution Tech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-4 Yrs,4 days ago,"Data analysis, tableau, Usage, Excel, data manipulation, Analytical, power bi, Data Analyst",https://www.naukri.com/job-listings-winfrox-hiring-remote-data-analysts-digital-solution-tech-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-4-years-300725501563
Data Analyst - Off Roll,Royal Enfield,Chennai,1-2 Yrs,5 days ago,"Looker., Power Bi, Tableau, SQL, data modeling, Data Analysis, Data Analytics, Rolling",https://www.naukri.com/job-listings-data-analyst-off-roll-royal-enfield-chennai-1-to-2-years-150725025159
Data Analyst,Yocreativ,Gurugram,1-3 Yrs,5 days ago,"database maintenance, python, data analytics, data analysis, data mining, predictive analytics, business analysis, power bi",https://www.naukri.com/job-listings-data-analyst-yocreativ-gurugram-1-to-3-years-290725501993
Python Developer (Data Analyst/AI Based),The IT Mind,Pune,5-10 Yrs,5 days ago,"Power Bi, Data analytics, JSON, Python Development, Oops Programming, Pyspark, Github, AI",https://www.naukri.com/job-listings-python-developer-data-analyst-ai-based-the-it-mind-services-pune-5-to-10-years-290725030830
"Data Analyst-UIDAI, New Delhi",National Institute for Smart Government (NISG),New Delhi,7-12 Yrs,6 days ago,"Data Analysis, Tableau, SQL, R, Power Bi, Data Visualization, Dashboards, Data Analytics",https://www.naukri.com/job-listings-data-analyst-uidai-new-delhi-national-institute-for-smart-government-nisg-new-delhi-7-to-12-years-280725003538
Data Analyst,Ace Insurance Brokers,Mumbai (All Areas),2-4 Yrs,4 days ago,"Data Analysis, Google Data Studio, Power Bi, Data Compliance, Formulas, Data Extraction, Data Mining, Advanced Excel",https://www.naukri.com/job-listings-data-analyst-ace-insurance-brokers-mumbai-all-areas-2-to-4-years-300725030363
Data Analyst,Sfour Media,Pune,1-3 Yrs,6 days ago,"database maintenance, python, data analytics, data analysis, sas, data mining, predictive analytics, business analysis",https://www.naukri.com/job-listings-data-analyst-sfour-media-private-limited-pune-1-to-3-years-280725500776
Data Analyst (BigQuery),Enfuse Solutions,Mumbai,2-4 Yrs,4 days ago,"Data quality, Data analytics, Data Analyst, Quality, Data, Bigquery, Data analysis, Analytics",https://www.naukri.com/job-listings-data-analyst-bigquery-enfuse-solutions-pvt-ltd-mumbai-2-to-4-years-300725504333
Data Analyst,Ganesh Diagnostic & Imaging Centre,Not specified,Not specified,Today,"Data Analysis, sales analyst, Data Quality, Data Management, Data Analytics, Monitor data quality, Sales, Data",https://www.naukri.com/job-listings-data-analyst-ganesh-diagnostic-imaging-centre-new-delhi-3-to-8-years-290625003366
Data Analyst - (Gurugram),Infosys,"Hybrid - Chennai, Bengaluru, PAN INDIA",11-20 Yrs,2 days ago,"Spark, Hive, Hadoop, Big Data, Kafka, Data, Data analysis",https://www.naukri.com/job-listings-data-analyst-gurugram-infosys-chennai-bengaluru-pan-india-11-to-20-years-010825029386
Data Analyst,Virtusa,Bengaluru,7-12 Yrs,2 days ago,"hive, sql queries, sql, spark, etl, python, data analysis, test cases",https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-bengaluru-7-to-12-years-010825922704
Data Analyst,Aster DM Healthcare,Gurugram,4-7 Yrs,3 days ago,"Power Bi, Data Analysis, Data Visualization, Data Analytics, Analytics, Analysis, Data, Bi",https://www.naukri.com/job-listings-data-analyst-aster-dm-healthcare-gurugram-4-to-7-years-310725028292
Data Analyst - Gurugram,Infosys,"Chennai, Bengaluru, PAN INDIA",5-10 Yrs,2 days ago,"Spark, Hive, Hadoop, Big Data, Kafka, Data, Data analysis",https://www.naukri.com/job-listings-data-analyst-gurugram-infosys-chennai-bengaluru-pan-india-5-to-10-years-010825029127
Data Analyst,Virtusa,Bengaluru,8-13 Yrs,2 days ago,"data mining, relational databases, data cleansing, database design, data modeling, matlab, data analysis, oracle",https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-bengaluru-8-to-13-years-010825923689
Data Analyst,T-Systems ICT India Pvt Ltd,Hybrid - Bengaluru,5-10 Yrs,6 days ago,"R, Data Visualization, Data Analytics, Python, Analytics, Data analysis, Data",https://www.naukri.com/job-listings-data-analyst-t-systems-ict-india-pvt-ltd-bengaluru-5-to-10-years-280725022688
Google Tag Manager Specialist / Data Analyst,Digital Recipe,Australia,3-7 Yrs,6 days ago,"Google Analytics, GTM, PPC, data analysis, data analytics, CMS, Shopify, WordPress",https://www.naukri.com/job-listings-google-tag-manager-specialist-data-analyst-digital-recipe-australia-3-to-7-years-280725906873
Data Analyst,Abhiyanta,Mumbai (All Areas),4-7 Yrs,6 days ago,"Celonis, Etl Process, Data Analytics, Data Visualization, Data Reporting, SQL, Reporting, ETL",https://www.naukri.com/job-listings-data-analyst-abhiyanta-mumbai-all-areas-4-to-7-years-280725006226
Data Analyst,Fincrux Technologies,"Mumbai, Mumbai Suburban, Navi Mumbai",0-1 Yrs,1 week ago,"Excel, Communication Skills, Data Analysis, Python, Data, Analysis",https://www.naukri.com/job-listings-data-analyst-fincrux-technologies-mumbai-mumbai-suburban-navi-mumbai-0-to-1-years-220725032838
Data Analyst -Survey Administration,Mercer,Gurugram,1-6 Yrs,1 week ago,"data analysis, data validation, documentation, vlookup, data collection, hlookup, python, project management",https://www.naukri.com/job-listings-data-analyst-survey-administration-marsh-mclennan-global-services-india-private-limited-gurugram-1-to-6-years-220725922260
Data Analyst Intern/Fresher/Experienced,Gururo,Vadodara,0-1 Yrs,1 week ago,"Data analysis, Automation, Google Analytics, Project management, Business analytics, Analytical, power bi, Business intelligence",https://www.naukri.com/job-listings-data-analyst-intern-fresher-experienced-gururo-vadodara-0-to-1-years-220725504979
Data Analyst,Simplilearn,Bengaluru,2-5 Yrs,3 days ago,"Snowflake, Microsoft Sql Server Database, MySQL, Python, Power Bi, Tableau, SQL, Server",https://www.naukri.com/job-listings-data-analyst-simplilearn-bengaluru-2-to-5-years-170725015878
Data Analyst,Chandigarh University,"Mohali, Chandigarh",0-3 Yrs,1 week ago,"data analysis, analytical, data mining, dashboard development, bi, strong analytical skills, statistical tools, power bi",https://www.naukri.com/job-listings-data-analyst-chandigarh-university-mohali-chandigarh-0-to-3-years-240725017300
Data Analyst,Tek Travels,Gurugram,1-3 Yrs,1 week ago,"Power Bi, Tableau, SQL, Excel, Data Analysis, Data Visualization, Data Extraction, Advanced Excel",https://www.naukri.com/job-listings-data-analyst-tek-travels-gurugram-1-to-3-years-090725007215
Data Analyst (Tableau),Logixhealth,"Hybrid - Coimbatore, Bengaluru",5-10 Yrs,2 days ago,"Tableau, SQL, Healthcare, RCM, Data, Data analysis",https://www.naukri.com/job-listings-data-analyst-tableau-logixhealth-coimbatore-bengaluru-5-to-10-years-010825014218
Data Analyst,Clifyx Technology,Bengaluru,1-4 Yrs,1 day ago,"Backend, Excel, Schema, query, power bi, Data Analyst, AWS, SQL",https://www.naukri.com/job-listings-data-analyst-clifyx-technology-bengaluru-1-to-4-years-020825500019
Data Analyst (Pan India),Infosys,"Hybrid - Hyderabad, Chennai, Bengaluru",11-18 Yrs,3 days ago,"Spark, Hive, Hadoop, Big Data, Kafka, Data analysis, Pan, Data",https://www.naukri.com/job-listings-data-analyst-pan-india-infosys-hyderabad-chennai-bengaluru-11-to-18-years-220725018162
Data Analyst,Virtusa,Pune,6-11 Yrs,2 days ago,"python, data analysis, sql, oracle apps database, r, oracle, sql queries, bi",https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-pune-6-to-11-years-010825923246
Data Modelling + Data Analyst + Python,Virtusa,Hyderabad,5-10 Yrs,2 days ago,"python, data analysis, relational databases, sql, data modeling, bi, power bi, business analysis",https://www.naukri.com/job-listings-data-modelling-data-analyst-python-virtusa-consulting-services-pvt-ltd-hyderabad-5-to-10-years-010825923700
Data Modelling + Data Analyst + Python,Virtusa,Chennai,5-10 Yrs,2 days ago,"python, data analysis, relational databases, sql, data modeling, bi, power bi, business analysis",https://www.naukri.com/job-listings-data-modelling-data-analyst-python-virtusa-consulting-services-pvt-ltd-chennai-5-to-10-years-010825923145
Data Analyst - pan India,Infosys,"Hybrid - Hyderabad, Chennai, Bengaluru",6-11 Yrs,3 days ago,"Spark, Hive, Hadoop, Big Data, Kafka, Data, Data analysis, Pan",https://www.naukri.com/job-listings-data-analyst-pan-india-infosys-hyderabad-chennai-bengaluru-6-to-11-years-220725018034
Data Analyst,Virtusa,Chennai,5-10 Yrs,2 days ago,"snowflake, macros, aws iam, software testing, ci/cd, continuous integration, python, data analysis",https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-chennai-5-to-10-years-010825922669
Data Modelling + Data Analyst + Python -T2 /Hyd,Virtusa,Hyderabad,8-13 Yrs,2 days ago,"python, data analysis, relational databases, sql, data modeling, bi, power bi, business analysis",https://www.naukri.com/job-listings-data-modelling-data-analyst-python-t2-hyd-virtusa-consulting-services-pvt-ltd-hyderabad-8-to-13-years-010825923673
Data Analyst,Virtusa,Hyderabad,7-12 Yrs,2 days ago,"hive, sql, spark, hadoop, python, continuous integration, scala, bi",https://www.naukri.com/job-listings-data-analyst-virtusa-consulting-services-pvt-ltd-hyderabad-7-to-12-years-010825923180
Cybersecurity Data Analyst,Stack Digital,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-7 Yrs,2 days ago,"Computer science, Data analysis, Data modeling, Analytical, Data quality, data visualization, VMS, Performance improvement",https://www.naukri.com/job-listings-cybersecurity-data-analyst-stack-digital-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-7-years-010825504082
Data Analyst,.,Bengaluru,6-8 Yrs,6 days ago,"Azure Data Factory, PowerShell, Power Automate, Databricks, SQL Server, Power Bi, Bi, Data analysis",https://www.naukri.com/job-listings-data-analyst-trigent-software-bengaluru-6-to-8-years-280725013565
"Data Eng, Mgmt & Governance Analyst",Accenture,Gurugram,3-5 Yrs,6 days ago,"data analysis, data management, gap analysis, sql, data visualization, project management, python, data analytics",https://www.naukri.com/job-listings-data-eng-mgmt-governance-analyst-accenture-solutions-pvt-ltd-gurugram-3-to-5-years-280725913129
Data Analyst,IT Professional Services,Bengaluru,6-8 Yrs,6 days ago,"Azure Data Factory, PowerShell, Power Automate, Databricks, SQL Server, Power Bi, Azure Data Lake, Python",https://www.naukri.com/job-listings-data-analyst-trigent-software-bengaluru-6-to-8-years-280725012492
Exciting Data Analysts,Digital Solution Tech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-3 Yrs,2 days ago,"Procurement, Computer science, Construction, Excel, Analytical, power bi, Data quality, Data Analyst",https://www.naukri.com/job-listings-exciting-data-analysts-digital-solution-tech-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-1-to-3-years-010825502005
Data Analyst,Peritus,Bengaluru,6-10 Yrs,2 days ago,"analytical tools, Tableau, SQL, Data, Data analysis, Tools, Analytical instruments, Analytics",https://www.naukri.com/job-listings-data-analyst-peritus-bengaluru-6-to-10-years-010825022073
Data and Legal Analyst,Alphastream Technologies,Bengaluru,0-3 Yrs,3 days ago,"covenants, private credit, Credit Agreement, Corporate Law, Private Equity, Analysis, Legal, commercial lending",https://www.naukri.com/job-listings-data-and-legal-analyst-alphastream-technologies-bengaluru-0-to-3-years-310725029872
Data Analyst (IoT),Log9 Materials,Bengaluru,0-6 Yrs,3+ weeks ago,"SAS, big data analytics, Data Analyst, Customer service, Business intelligence, Macros, Analytics, Reporting tools",https://www.naukri.com/job-listings-data-analyst-iot-log9-materials-bengaluru-0-to-6-years-110325506630
Data Analyst,Homelane,Bengaluru,2-5 Yrs,4 days ago,"python, market research, data engineering, business intelligence, sql, data analysis, ssas, mathematics",https://www.naukri.com/job-listings-data-analyst-homevista-decor-and-furnishings-private-ltd-bengaluru-2-to-5-years-300725923017
Space Data Analyst,Jones Lang LaSalle Property Consultants (India) Pv t. Ltd.,Bengaluru,2-5 Yrs,6 days ago,"data analysis, data management, tririga, hrsd, tableau, python, real estate, machine learning",https://www.naukri.com/job-listings-space-data-analyst-jones-lang-lasalle-property-consultants-india-pv-t-ltd-bengaluru-2-to-5-years-280725922786
Data Governance - Analyst,RBL Bank,"Thane, Navi Mumbai, Mumbai (All Areas)",4-6 Yrs,6 days ago,"Data Integrity, Data Lineage, Data Governance Analyst, Data Analytics, Data Governance, ADF, data management life cycle, Data Management",https://www.naukri.com/job-listings-data-governance-analyst-rbl-bank-thane-navi-mumbai-mumbai-all-areas-4-to-6-years-090625005876
Python Data Analyst,MSCI Services,Pune,2-4 Yrs,4 days ago,"python, analytical, data, research, Analytics, Analysis, Python Data, Data analysis",https://www.naukri.com/job-listings-python-data-analyst-msci-services-pvt-ltd-pune-2-to-4-years-300725505491
Data Analyst,BP INCORPORATE INTERNATIONAL.,Pune,4-6 Yrs,1 week ago,"Manager Quality Assurance, Data management, Business analysis, Consulting, Data analytics, Data Analyst, Data mining, Statistics",https://www.naukri.com/job-listings-data-analyst-bp-incorporate-international-pune-4-to-6-years-260725500302
Data Analyst,BP INCORPORATE INTERNATIONAL.,Pune,3-6 Yrs,1 week ago,"Manager Quality Assurance, Data management, Business analysis, Consulting, Data analytics, Data Analyst, Data mining, Statistics",https://www.naukri.com/job-listings-data-analyst-bp-incorporate-international-pune-3-to-6-years-250725501705
Data Analyst,Optum,Gurugram,3-8 Yrs,6 days ago,"python, scala, pyspark, sql server, nosql, azure databricks, hive, continuous integration",https://www.naukri.com/job-listings-data-analyst-optum-global-solutions-india-private-limited-gurugram-3-to-8-years-280725915860
Data analyst E3,Fortune Global 500 Company Engg. & Construction,Hybrid - Chennai,5-8 Yrs,5 days ago,"Power Bi, Tableau, SQL, Data Visualization, Data, E3, Data analysis, Bi",https://www.naukri.com/job-listings-data-analyst-e3-randstad-chennai-5-to-8-years-290725012446
Data Analyst,Leading Client,Hyderabad,6-10 Yrs,1 week ago,"python, data analysis, sql, tableau, etl, data analytics, data management, data mining",https://www.naukri.com/job-listings-data-analyst-ideslabs-private-limited-hyderabad-6-to-10-years-230725931756
Data Analyst - Client :Amazon,Amazon,Pune,5-9 Yrs,1 week ago,"Power Bi, Quicksight, Tableau, SQL, Python, Bigquery, Data Visualization, Data Extraction",https://www.naukri.com/job-listings-data-analyst-client-amazon-bct-consulting-pune-5-to-9-years-210725020916
Data Analyst (FP&A),ExxonMobil,Bengaluru,3-7 Yrs,5 days ago,"Power Bi, Snowflake, SQL, Tableau, Data, Data analysis, FPA, Analysis",https://www.naukri.com/job-listings-data-analyst-fp-a-exxonmobil-bengaluru-3-to-7-years-290725019755
